,POLICYNO,PLCYDATE,CLM_FREQ5,CLM_AMT5,CLM_AMT,KIDSDRIV,TRAVTIME,CAR_USE,BLUEBOOK,RETAINED,NPOLICY,CAR_TYPE,RED_CAR,REVOLKED,MVR_PTS,CLM_FLAG,AGE,HOMEKIDS,YOJ,INCOME,GENDER,MARRIED,PARENT1,JOBCLASS,MAX_EDUC,HOME_VAL,SAMEHOME,AREA,IN_YY
2229,21398826,8938.0,0,0,3570,0,73,Commercial,12610,14,2,SUV,no,No,0,Yes,46,0,10,35678,F,No,No,Student,Bachelors,-2147483648,8,Urban,0
2230,21405137,10163.0,1,6712,4373,0,31,Private,11580,6,2,SUV,no,No,4,Yes,57,0,12,100769,F,No,No,Professional,Bachelors,0,12,Urban,0
2231,21456813,8595.0,0,0,0,0,32,Commercial,33960,1,2,Panel Truck,no,No,0,No,49,0,10,122192,M,No,No,Unknown,Masters,337259,-2147483648,Urban,0
2232,21457093,9671.0,0,0,0,0,53,Private,10880,1,2,Pickup,yes,No,2,No,42,0,12,15307,M,Yes,No,Clerical,High School,123562,8,Rural,1
2233,21469514,9793.0,1,30605,2950,0,41,Private,15100,4,2,Sedan,yes,Yes,5,Yes,51,0,11,51605,M,No,No,Blue Collar,<High School,0,7,Urban,0
2234,21475890,9413.0,0,0,0,0,32,Private,15860,10,1,SUV,no,No,3,No,50,0,6,50621,F,Yes,No,Professional,High School,199108,-2147483648,Urban,0
2235,21479087,10111.0,0,0,706,0,44,Commercial,9290,6,3,SUV,no,No,0,Yes,39,1,13,77889,F,Yes,No,Blue Collar,Bachelors,217053,10,Urban,0
2236,21495356,8649.0,0,0,0,0,10,Private,22920,1,1,Sedan,no,No,0,No,53,0,7,55869,M,No,No,Lawyer,Masters,0,13,Urban,1
2237,21503146,9098.0,0,0,0,0,55,Commercial,17400,6,1,Sedan,no,No,0,No,35,3,11,88117,F,No,Yes,Blue Collar,Bachelors,236440,10,Urban,0
2238,21505272,9499.0,3,5029,16798,0,9,Private,13550,10,1,Sports Car,no,No,2,Yes,42,0,12,31093,F,Yes,No,Clerical,<High School,159141,5,Urban,0
2239,21539037,10003.0,1,3457,0,0,51,Private,14780,6,2,Sedan,no,No,3,No,47,0,6,64549,M,No,No,Manager,Bachelors,222737,10,Urban,0
2240,21549548,8575.0,2,3694,0,0,12,Private,14400,8,1,Sports Car,no,No,0,No,63,0,13,65962,F,Yes,No,Manager,Masters,244144,12,Urban,0
2241,21553885,10390.0,0,0,0,1,42,Private,3480,1,1,Sedan,no,No,1,No,45,1,10,19802,M,No,Yes,Clerical,<High School,-2147483648,1,Rural,1
2242,21575122,10439.0,3,4733,5275,0,42,Commercial,16210,4,1,Pickup,no,No,11,Yes,59,0,13,63969,F,No,No,Blue Collar,High School,187263,1,Urban,0
2243,21584809,9284.0,2,5288,5641,4,38,Private,7920,6,2,Sports Car,no,No,3,Yes,45,5,0,0,F,No,Yes,Student,<High School,0,-2147483648,Rural,0
2244,21593275,9654.0,2,4436,0,0,52,Commercial,28090,3,2,Panel Truck,yes,No,3,No,48,0,10,90174,M,No,No,Unknown,Masters,0,16,Urban,0
2245,21596555,9631.0,0,0,0,0,16,Private,17980,4,1,Van,no,No,1,No,46,0,9,98346,M,Yes,No,Lawyer,Masters,296257,27,Urban,0
2246,21619518,10199.0,0,0,0,0,18,Private,14320,4,2,Sedan,no,No,0,No,54,0,12,102295,M,No,No,Manager,PhD,299916,15,Urban,0
2247,21634370,9261.0,0,0,1338,0,48,Private,20800,14,1,Sports Car,no,No,0,Yes,41,0,13,39645,F,Yes,No,Clerical,High School,150503,5,Urban,0
2248,21644393,9428.0,3,7428,0,0,54,Commercial,9380,12,2,Sports Car,no,No,0,No,46,0,12,78804,F,Yes,No,Blue Collar,High School,270734,1,Urban,0
2249,21646132,10686.0,0,0,0,0,35,Private,15680,7,1,Sedan,no,No,0,No,49,0,8,57775,F,Yes,No,Manager,High School,176758,10,Urban,0
2250,21682143,8695.0,0,0,0,0,23,Private,1500,10,1,Sedan,yes,No,0,No,51,0,14,117742,M,Yes,No,Lawyer,Masters,305361,16,Urban,0
2251,21719239,9744.0,0,0,0,0,23,Private,11240,1,4,SUV,no,No,1,No,47,0,10,161627,F,No,No,Doctor,PhD,408755,21,Urban,1
2252,21725700,10260.0,1,10139,0,0,29,Private,6140,10,1,Sports Car,no,No,0,No,35,2,0,0,F,Yes,No,Student,<High School,75659,1,Urban,0
2253,21726680,9095.0,0,0,0,0,30,Private,34270,6,2,Pickup,no,No,0,No,35,2,9,103802,F,Yes,No,Manager,PhD,319590,17,Urban,0
2254,21733106,10514.0,0,0,0,0,40,Private,21670,1,1,SUV,no,No,0,No,34,4,14,34135,F,No,Yes,Manager,High School,0,1,Urban,1
2255,21740865,8960.0,0,0,0,0,56,Commercial,19420,1,1,Van,no,No,0,No,45,0,11,67095,M,No,No,Blue Collar,High School,259295,8,Rural,1
2256,21747966,9476.0,0,0,0,0,28,Commercial,11120,6,1,Pickup,no,No,0,No,55,0,9,41159,M,Yes,No,Clerical,<High School,190351,6,Rural,0
2257,21754401,10619.0,0,0,0,0,41,Commercial,29490,4,1,Sedan,no,No,0,No,54,0,15,48466,F,Yes,No,Blue Collar,Bachelors,187224,3,Rural,0
2258,21756762,8831.0,0,0,2907,1,46,Private,10560,6,2,Sports Car,no,No,3,Yes,60,2,15,151225,F,Yes,No,Doctor,PhD,416062,13,Urban,0
2259,21756804,9068.0,0,0,0,0,38,Private,30600,7,1,SUV,no,Yes,0,No,48,0,14,115126,F,Yes,No,Lawyer,Masters,271839,19,Urban,0
2260,21779808,9724.0,0,0,0,0,53,Private,11380,11,3,Sedan,no,No,0,No,52,0,10,2680,F,No,No,Home Maker,PhD,0,17,Rural,0
2261,21795418,9818.0,0,0,2934,0,37,Commercial,7100,11,1,Sedan,no,No,2,Yes,35,3,12,20986,F,No,Yes,Blue Collar,High School,0,-2147483648,Urban,0
2262,21815206,8975.0,0,0,0,0,10,Private,19630,10,2,Pickup,no,No,0,No,52,0,9,138004,F,No,No,Manager,PhD,343853,10,Urban,0
2263,21824614,8972.0,0,0,0,0,98,Private,9500,1,5,Sedan,yes,No,0,No,45,1,12,38639,F,Yes,No,Clerical,High School,151007,9,Rural,1
2264,21828467,8731.0,2,3367,5118,2,49,Private,3860,4,2,Sedan,yes,No,0,Yes,36,2,9,69434,M,Yes,No,Blue Collar,Bachelors,230609,7,Urban,0
2265,21834633,9974.0,0,0,0,0,27,Private,27020,6,1,Sedan,yes,No,3,No,57,0,-2147483648,77686,M,Yes,No,Doctor,PhD,240777,-2147483648,Urban,0
2266,21834758,10325.0,1,4676,0,0,23,Private,10070,4,1,Sedan,no,No,4,No,33,1,14,52682,F,No,Yes,Professional,Bachelors,185164,-2147483648,Urban,0
2267,21835609,10427.0,0,0,0,0,20,Commercial,33990,4,1,Panel Truck,no,No,0,No,49,0,13,17804,M,Yes,No,Clerical,<High School,130333,6,Rural,0
2268,21846729,10463.0,0,0,0,0,26,Private,15350,1,1,Sedan,yes,No,0,No,45,0,6,75109,M,No,No,Lawyer,Masters,277896,19,Urban,1
2269,21876349,10325.0,2,2925,0,0,53,Private,33140,1,1,Van,no,No,0,No,56,0,9,178807,F,Yes,No,Professional,Bachelors,451332,5,Urban,1
2270,21877358,9646.0,0,0,0,0,25,Private,31330,15,1,Sedan,no,No,0,No,50,0,9,76515,F,Yes,No,Lawyer,Masters,-2147483648,16,Urban,0
2271,21895260,9249.0,0,0,0,0,32,Commercial,29020,4,1,Panel Truck,no,No,0,No,53,0,12,168489,M,Yes,No,Unknown,PhD,422061,9,Urban,0
2272,21895562,10347.0,0,0,0,0,36,Private,18830,1,1,SUV,no,No,1,No,34,1,10,6362,F,No,Yes,Clerical,<High School,0,1,Rural,1
2273,21913593,10405.0,0,0,0,0,50,Private,6200,13,1,Sports Car,no,No,0,No,41,2,0,0,F,No,Yes,Student,<High School,-2147483648,5,Rural,0
2274,21915457,10254.0,3,6914,5039,1,37,Private,11680,3,2,Pickup,yes,No,5,Yes,42,3,11,59800,M,No,Yes,Clerical,High School,0,1,Urban,0
2275,21919079,9440.0,3,3432,0,0,28,Commercial,26740,7,1,Panel Truck,yes,No,0,No,52,0,14,174389,M,Yes,No,Unknown,PhD,447758,15,Urban,0
2276,21935441,9332.0,2,7194,0,0,25,Private,8220,1,4,Sports Car,no,No,5,No,36,1,12,19217,F,Yes,No,Clerical,<High School,120635,3,Rural,1
2277,21951787,10411.0,0,0,2166,0,5,Private,11640,17,2,SUV,no,Yes,0,Yes,60,2,15,3005,F,No,Yes,Home Maker,High School,125809,1,Urban,0
2278,21954743,9621.0,0,0,0,0,42,Private,10860,1,1,SUV,no,Yes,0,No,29,1,0,0,F,Yes,No,Home Maker,High School,0,1,Urban,1
2279,21974819,10697.0,2,3437,0,0,19,Private,21560,13,3,Pickup,no,No,5,No,60,0,12,19796,F,No,No,Clerical,Bachelors,153061,1,Urban,0
2280,21986232,9408.0,0,0,707,0,46,Commercial,4500,4,2,Pickup,no,Yes,1,Yes,30,1,0,0,M,No,Yes,Student,Bachelors,0,5,Urban,0
2281,21989788,9287.0,0,0,0,0,11,Private,16760,8,1,Sedan,yes,No,1,No,43,0,12,80746,M,No,No,Manager,Bachelors,0,1,Urban,0
2282,21992166,9968.0,2,3800,774,0,69,Commercial,13920,4,3,SUV,no,No,2,Yes,50,0,13,68194,F,No,No,Blue Collar,Bachelors,0,10,Urban,0
2283,22004946,9331.0,2,27439,6332,1,47,Private,10650,1,1,Pickup,yes,Yes,3,Yes,37,3,13,91450,M,Yes,No,Professional,Bachelors,284853,1,Urban,1
2284,22012670,8556.0,0,0,0,0,12,Private,10960,13,1,Sports Car,no,No,3,No,61,0,10,145194,M,No,No,Manager,Bachelors,390342,9,Urban,0
2285,22013790,9464.0,0,0,0,1,16,Commercial,10900,13,1,SUV,no,Yes,2,No,43,3,18,-2147483648,F,Yes,No,Student,Bachelors,0,9,Urban,0
2286,22014421,10205.0,2,24512,0,0,31,Private,1500,6,1,SUV,no,No,2,No,33,1,3,16502,F,No,Yes,Clerical,<High School,0,7,Rural,0
2287,22017445,9228.0,2,1606,3554,0,47,Private,21460,13,1,SUV,no,No,1,Yes,52,0,11,56582,F,No,No,Clerical,<High School,0,6,Urban,0
2288,22032009,10060.0,0,0,0,0,36,Private,10880,10,1,Pickup,no,Yes,0,No,47,0,11,46812,M,Yes,No,Lawyer,Masters,166668,16,Urban,0
2289,22034558,9628.0,3,8518,0,0,23,Private,9200,6,2,Sedan,yes,No,1,No,41,1,11,36445,M,Yes,No,Clerical,High School,190650,1,Urban,0
2290,22038731,8831.0,1,8393,0,0,51,Private,21440,4,2,Sports Car,no,No,5,No,46,0,11,97475,F,No,No,Manager,High School,-2147483648,7,Urban,0
2291,22041303,9648.0,2,37404,3388,1,41,Private,5600,1,1,SUV,no,No,0,Yes,41,1,11,63989,F,Yes,No,Manager,Bachelors,212477,11,Urban,1
2292,22042655,9270.0,1,1003,0,0,13,Private,16700,4,3,Sedan,no,No,0,No,46,0,16,46018,F,Yes,No,Professional,Bachelors,-2147483648,12,Urban,0
2293,22053574,9433.0,0,0,0,0,22,Private,17720,4,2,Van,yes,Yes,1,No,24,0,8,57504,M,Yes,No,Professional,Bachelors,147969,8,Urban,0
2294,22053646,10555.0,0,0,0,0,32,Private,21320,10,1,SUV,no,No,1,No,40,1,10,13719,F,No,Yes,Clerical,<High School,0,7,Rural,0
2295,22063382,10694.0,0,0,5146,2,50,Private,19400,3,3,SUV,no,No,3,Yes,37,2,13,141969,F,No,Yes,Manager,PhD,0,16,Urban,0
2296,22071179,10179.0,0,0,0,0,23,Private,7760,13,1,Sedan,no,No,0,No,42,0,12,14006,F,Yes,No,Home Maker,High School,120836,8,Urban,0
2297,22077185,10559.0,3,2409,2668,0,25,Commercial,4500,1,2,Pickup,yes,No,3,Yes,30,0,0,0,M,No,No,Student,High School,0,9,Urban,1
2298,22082826,8911.0,0,0,0,0,29,Commercial,18090,1,2,Sedan,no,No,1,No,48,0,13,34351,F,No,No,Blue Collar,High School,0,5,Urban,1
2299,22083220,8762.0,0,0,0,0,75,Private,11290,12,3,Sedan,no,No,2,No,39,1,0,0,F,Yes,No,Student,Bachelors,0,7,Urban,0
2300,22088785,9197.0,0,0,0,0,47,Commercial,35890,6,2,Panel Truck,yes,Yes,0,No,43,2,10,27496,F,Yes,No,Clerical,<High School,152043,-2147483648,Rural,0
2301,22093264,9232.0,2,5650,0,0,11,Private,41250,4,1,Van,no,No,3,No,61,0,12,115440,M,No,No,Lawyer,Masters,0,15,Urban,0
2302,22102957,9911.0,0,0,0,0,16,Commercial,32110,1,1,Panel Truck,no,No,0,No,48,0,12,180128,M,Yes,No,Unknown,PhD,437339,15,Urban,0
2303,22105669,9665.0,1,9011,0,0,9,Private,1500,1,1,Sedan,no,No,7,No,39,0,12,55246,M,No,No,Lawyer,Masters,210896,6,Urban,1
2304,22107439,10131.0,0,0,5349,0,22,Private,6600,8,3,SUV,no,No,0,Yes,51,0,14,175219,F,Yes,No,Manager,Masters,477999,15,Urban,0
2305,22110210,9293.0,4,3488,2532,0,55,Private,1500,16,1,Sedan,yes,No,0,Yes,36,2,-2147483648,51969,M,Yes,No,Clerical,Bachelors,221596,7,Urban,0
2306,22110653,9427.0,0,0,45191,0,34,Commercial,11600,6,1,Sedan,no,No,0,Yes,59,0,10,-2147483648,F,Yes,No,Student,High School,0,1,Urban,0
2307,22114593,10260.0,0,0,0,0,29,Private,7120,6,3,SUV,no,No,0,No,37,0,12,49548,F,No,No,Clerical,High School,0,1,Rural,0
2308,22122219,8732.0,0,0,0,0,17,Private,12920,13,1,SUV,no,No,3,No,49,0,8,105594,F,Yes,No,Doctor,PhD,301702,1,Urban,0
2309,22135209,9290.0,2,25130,0,0,33,Private,18100,1,1,SUV,no,No,2,No,39,0,8,74548,F,No,No,Professional,Bachelors,0,10,Urban,1
2310,22156268,8670.0,0,0,5667,0,27,Private,12080,1,1,Sports Car,no,No,0,Yes,53,1,-2147483648,31205,F,Yes,No,Clerical,High School,170358,6,Urban,1
2311,22165230,9446.0,0,0,0,0,50,Private,11680,1,2,Sedan,no,No,0,No,48,0,12,42156,M,No,No,Clerical,<High School,0,8,Rural,1
2312,22166689,10091.0,2,5093,5836,0,35,Commercial,13440,10,2,Pickup,no,No,8,Yes,36,0,0,0,F,No,No,Student,<High School,0,1,Urban,0
2313,22171705,10446.0,0,0,3036,0,52,Private,12910,1,2,SUV,no,Yes,3,Yes,46,0,11,68126,F,Yes,No,Professional,Bachelors,214584,6,Urban,1
2314,22182177,9934.0,0,0,0,0,44,Private,26670,9,1,Sports Car,no,No,4,No,29,4,0,0,F,Yes,No,Home Maker,<High School,103207,1,Rural,0
2315,22183506,9152.0,2,7314,0,0,12,Commercial,28100,6,2,Pickup,no,No,5,No,57,0,11,93401,F,No,No,Manager,Bachelors,0,13,Urban,0
2316,22185635,10474.0,0,0,0,0,30,Private,7890,3,1,SUV,no,No,0,No,40,3,0,0,F,Yes,No,Student,<High School,0,1,Urban,0
2317,22194866,10446.0,2,2621,3110,0,42,Private,4100,1,1,SUV,no,No,6,Yes,26,3,0,0,F,Yes,No,Home Maker,Bachelors,50964,8,Urban,1
2318,22197880,10548.0,2,26426,0,0,26,Private,21480,3,5,Sports Car,no,No,3,No,51,0,12,82886,F,Yes,No,Home Maker,PhD,237613,17,Rural,0
2319,22229834,10659.0,1,3402,1453,3,36,Commercial,25920,1,1,Panel Truck,no,No,0,Yes,40,3,12,47456,M,Yes,No,Blue Collar,High School,165012,5,Urban,1
2320,22231345,8851.0,2,7744,0,1,41,Private,19450,1,3,Sedan,no,No,4,No,55,2,15,127075,M,No,Yes,Doctor,PhD,0,13,Urban,1
2321,22241633,10196.0,0,0,0,0,80,Private,24910,6,3,Pickup,no,No,0,No,44,4,15,27069,F,Yes,No,Clerical,High School,134937,1,Urban,0
2322,22245237,9000.0,3,23418,1900,0,34,Private,5410,4,1,SUV,no,Yes,5,Yes,32,2,12,39144,F,No,Yes,Blue Collar,<High School,0,1,Urban,0
2323,22245974,9151.0,0,0,0,2,41,Private,20150,1,1,Sedan,no,No,0,No,36,3,13,8615,F,Yes,No,Home Maker,High School,72501,6,Rural,1
2324,22255988,10325.0,1,5203,0,0,24,Commercial,7880,7,1,Pickup,no,No,4,No,54,0,13,-2147483648,M,Yes,No,Unknown,Masters,-2147483648,16,Urban,0
2325,22258805,10197.0,3,25401,0,0,14,Private,8430,1,3,SUV,no,No,1,No,46,0,6,34508,F,Yes,No,Clerical,High School,183694,6,Rural,1
2326,22276814,10037.0,0,0,0,0,27,Private,18240,13,3,Van,yes,No,0,No,41,3,15,126363,M,Yes,No,Doctor,PhD,349884,8,Urban,0
2327,22284569,8905.0,0,0,0,0,25,Private,9590,4,1,SUV,no,No,0,No,45,0,13,78432,F,Yes,No,Manager,Bachelors,259622,1,Urban,0
2328,22304988,9102.0,2,9845,0,0,46,Private,26020,13,1,Sports Car,no,No,4,No,51,0,13,74501,F,Yes,No,Professional,Bachelors,190592,1,Urban,0
2329,22310378,9813.0,3,13752,0,2,32,Private,14350,1,2,Sedan,no,No,5,No,43,2,14,6162,F,Yes,No,Home Maker,High School,50223,7,Urban,1
2330,22327534,8824.0,0,0,0,0,77,Private,9770,13,2,SUV,no,No,0,No,44,0,0,0,F,Yes,No,Student,High School,0,7,Rural,0
2331,22343145,10081.0,0,0,0,0,56,Commercial,22200,4,1,SUV,no,No,3,No,28,1,13,97231,F,Yes,No,Blue Collar,Bachelors,262856,11,Rural,0
2332,22347686,9567.0,0,0,0,0,46,Private,17410,1,3,Sports Car,no,Yes,5,No,61,0,11,61472,F,Yes,No,Lawyer,Masters,227562,8,Urban,1
2333,22350643,10084.0,2,1421,0,2,43,Private,5600,7,2,Pickup,yes,No,4,No,41,3,10,90991,M,Yes,No,Professional,Bachelors,310709,1,Urban,0
2334,22351105,9402.0,2,5346,0,0,32,Private,22350,6,2,SUV,no,No,3,No,42,0,11,69780,F,Yes,No,Lawyer,Masters,223784,19,Urban,0
2335,22353508,8622.0,1,6937,5443,0,46,Commercial,19950,1,2,Pickup,no,No,7,Yes,39,3,16,22626,F,Yes,No,Blue Collar,<High School,60718,7,Urban,1
2336,22365624,10553.0,0,0,4847,1,33,Commercial,25510,6,1,Panel Truck,yes,No,1,Yes,43,1,8,199866,M,No,Yes,Unknown,Masters,0,15,Urban,0
2337,22414431,9863.0,0,0,0,0,51,Private,15230,7,1,SUV,no,No,0,No,34,2,14,51497,F,Yes,No,Clerical,Bachelors,219049,14,Rural,0
2338,22426230,10219.0,2,3443,0,0,35,Private,15950,6,2,Sedan,yes,No,3,No,41,0,-2147483648,103461,M,Yes,No,Professional,Masters,305052,20,Urban,0
2339,22437246,8606.0,0,0,0,0,41,Private,21920,1,2,Van,yes,No,0,No,53,0,14,64915,M,Yes,No,Manager,Bachelors,186151,-2147483648,Urban,1
2340,22445422,9023.0,2,4409,0,0,60,Private,9280,1,3,SUV,no,No,1,No,32,1,11,8824,F,Yes,No,Professional,<High School,91593,8,Urban,1
2341,22461954,8707.0,0,0,773,1,52,Private,7340,7,1,SUV,no,No,0,Yes,38,1,6,-2147483648,F,Yes,No,Clerical,<High School,113408,1,Urban,0
2342,22466713,10262.0,2,2645,0,0,58,Private,15910,1,1,Sedan,yes,No,3,No,51,0,11,91605,M,Yes,No,Doctor,PhD,276147,10,Urban,1
2343,22468654,9885.0,3,47939,0,0,50,Private,7000,10,4,Sports Car,no,No,1,No,54,0,11,177842,F,No,No,Lawyer,Masters,0,24,Urban,0
2344,22480250,9060.0,0,0,0,0,6,Private,22420,1,1,Sedan,no,No,0,No,50,0,12,73671,F,Yes,No,Lawyer,Masters,-2147483648,15,Urban,1
2345,22481033,9731.0,0,0,0,0,45,Commercial,11890,4,2,Pickup,yes,No,0,No,46,0,14,23571,M,Yes,No,Clerical,High School,145066,1,Rural,0
2346,22494347,9250.0,1,1022,0,0,37,Private,8060,7,4,SUV,no,No,1,No,44,0,12,5069,F,No,No,Student,<High School,0,1,Urban,0
2347,22501313,8581.0,0,0,0,0,49,Private,13930,3,1,SUV,no,No,0,No,48,0,14,20792,F,Yes,No,Home Maker,Bachelors,165130,6,Rural,0
2348,22533747,9770.0,0,0,0,0,33,Private,35760,6,3,SUV,no,No,0,No,52,0,10,104067,F,Yes,No,Manager,PhD,319855,18,Urban,0
2349,22535675,9188.0,1,1423,7485,1,61,Commercial,5490,13,2,Pickup,no,No,0,Yes,34,4,14,58991,M,Yes,No,Blue Collar,High School,162309,-2147483648,Urban,0
2350,22542607,8987.0,2,5064,0,0,31,Private,1500,4,1,Sedan,yes,No,1,No,49,0,11,89659,M,No,No,Professional,Bachelors,0,13,Urban,0
2351,22545233,9394.0,0,0,0,0,7,Private,20530,7,1,Sedan,no,No,3,No,53,0,0,0,F,No,No,Home Maker,Masters,0,17,Urban,0
2352,22572314,9301.0,0,0,0,0,35,Private,9460,8,2,SUV,no,Yes,0,No,39,0,0,0,F,Yes,No,Student,High School,-2147483648,1,Urban,0
2353,22578386,8622.0,2,1184,1347,0,18,Commercial,29330,4,1,Panel Truck,yes,No,4,Yes,51,0,7,141546,M,No,No,Manager,PhD,351285,-2147483648,Urban,0
2354,22589720,10649.0,0,0,0,0,50,Commercial,9570,7,3,Pickup,yes,No,0,No,46,0,14,34705,M,Yes,No,Blue Collar,High School,173076,7,Urban,0
2355,22593418,9897.0,2,41303,3034,0,23,Private,1500,6,1,SUV,no,Yes,4,Yes,35,2,8,47797,F,No,Yes,Professional,Bachelors,0,6,Urban,0
2356,22604597,9353.0,0,0,4271,0,49,Commercial,10700,1,2,Pickup,no,Yes,2,Yes,43,0,-2147483648,49021,M,No,No,Professional,High School,177127,1,Urban,1
2357,22607422,9248.0,1,1358,0,0,41,Commercial,20730,1,2,Van,no,No,5,No,50,0,7,125583,M,Yes,No,Professional,Masters,-2147483648,13,Urban,1
2358,22613499,9536.0,0,0,0,0,13,Private,13990,1,2,SUV,no,No,0,No,38,0,7,46947,F,Yes,No,Home Maker,Bachelors,150812,-2147483648,Rural,1
2359,22621546,10520.0,0,0,0,0,29,Private,8310,7,1,SUV,no,No,0,No,39,2,12,24790,F,No,Yes,Clerical,High School,0,1,Rural,0
2360,22624176,8627.0,0,0,0,0,17,Private,18220,6,2,SUV,no,No,0,No,46,0,8,-2147483648,F,No,No,Lawyer,Masters,-2147483648,-2147483648,Urban,0
2361,22629337,9978.0,0,0,0,0,44,Private,5800,13,2,SUV,no,No,4,No,43,0,11,106059,F,Yes,No,Manager,High School,267152,1,Urban,0
2362,22646890,10220.0,0,0,0,0,18,Private,9570,1,4,Sedan,no,No,2,No,47,0,8,-2147483648,M,No,No,Clerical,<High School,119708,3,Urban,0
2363,22661979,9055.0,2,1086,0,0,25,Commercial,25530,10,1,Panel Truck,yes,No,0,No,52,0,9,30776,M,Yes,No,Clerical,<High School,200353,5,Urban,0
2364,22666493,8568.0,3,9851,6685,1,48,Commercial,16720,6,1,SUV,no,No,8,Yes,53,1,11,12824,F,No,Yes,Student,High School,0,10,Urban,0
2365,22670327,9787.0,1,3927,0,1,26,Private,10170,3,3,SUV,no,No,1,No,39,1,13,78477,F,Yes,No,Manager,Masters,-2147483648,11,Urban,0
2366,22687116,9268.0,2,9228,0,0,40,Private,1630,4,2,Sports Car,no,No,7,No,38,0,0,0,F,No,No,Student,<High School,0,6,Urban,0
2367,22698210,9135.0,2,2996,0,0,68,Private,7040,1,1,Sports Car,no,No,4,No,50,0,13,5386,F,Yes,No,Student,Bachelors,0,9,Urban,1
2368,22706067,8623.0,0,0,0,0,37,Private,22020,9,1,Sedan,no,Yes,0,No,51,0,14,89582,M,No,No,Lawyer,Masters,269747,16,Urban,0
2369,22711759,9391.0,0,0,1037,0,26,Commercial,11020,1,2,Pickup,yes,Yes,1,Yes,54,0,0,0,M,No,No,Home Maker,Bachelors,111556,7,Urban,1
2370,22717016,9734.0,0,0,0,1,9,Commercial,7050,4,1,SUV,no,No,1,No,39,3,12,6843,F,No,Yes,Student,High School,0,6,Rural,0
2371,22723467,10583.0,2,5106,6386,0,33,Commercial,12050,1,1,Sports Car,no,No,1,Yes,36,2,12,69546,F,Yes,No,Blue Collar,High School,186300,1,Urban,1
2372,22746526,8822.0,0,0,1990,0,42,Private,22070,7,1,Van,yes,No,0,Yes,36,0,11,33447,M,No,No,Clerical,<High School,0,1,Urban,0
2373,22754328,10130.0,0,0,6208,0,19,Commercial,9640,1,1,SUV,no,No,2,Yes,54,0,12,27354,F,No,No,Blue Collar,Bachelors,0,9,Urban,1
2374,22760145,9556.0,0,0,0,0,38,Private,22860,6,2,Sedan,no,No,0,No,41,0,12,70426,F,Yes,No,Professional,High School,209877,12,Urban,0
2375,22762362,9720.0,2,1698,0,0,57,Private,18690,1,1,SUV,no,No,0,No,42,0,12,-2147483648,F,Yes,No,Clerical,Bachelors,241791,8,Urban,0
2376,22786630,10330.0,0,0,0,2,35,Commercial,18020,7,1,Sedan,no,No,1,No,42,2,-2147483648,0,F,No,Yes,Student,Bachelors,0,6,Rural,0
2377,22802285,9834.0,0,0,0,1,32,Private,10490,1,1,SUV,no,No,5,No,39,1,11,50891,F,Yes,No,Clerical,High School,194126,6,Rural,1
2378,22809205,9382.0,0,0,19352,0,30,Commercial,19820,1,2,SUV,no,No,0,Yes,57,0,8,81767,F,Yes,No,Blue Collar,High School,308350,7,Urban,1
2379,22810155,9992.0,0,0,0,0,33,Private,16160,9,3,Sedan,no,Yes,1,No,41,1,10,137815,F,No,Yes,Manager,Bachelors,0,1,Urban,0
2380,22838351,8660.0,0,0,4903,0,50,Commercial,25250,4,3,Panel Truck,yes,No,2,Yes,47,0,14,19779,M,No,No,Blue Collar,<High School,96107,1,Rural,0
2381,22854355,9762.0,1,6187,0,0,56,Commercial,19640,1,4,Pickup,no,No,2,No,51,0,0,0,F,Yes,No,Home Maker,High School,56589,1,Urban,1
2382,22859263,8805.0,0,0,0,0,45,Commercial,17390,1,1,Van,no,No,3,No,42,0,9,116863,M,Yes,No,Unknown,Masters,335371,11,Urban,0
2383,22861503,8548.0,0,0,0,0,69,Commercial,6400,3,2,Pickup,yes,Yes,0,No,49,0,7,176866,M,No,No,Unknown,Masters,0,16,Urban,0
2384,22869718,9105.0,0,0,0,0,18,Private,25530,6,1,Sedan,no,No,0,No,49,0,14,21918,F,Yes,No,Lawyer,Masters,157112,19,Urban,0
2385,22891050,10612.0,0,0,0,0,60,Private,20480,4,1,Van,yes,No,4,No,32,1,12,126678,M,Yes,No,Blue Collar,Bachelors,325815,15,Rural,0
2386,22895369,8835.0,0,0,2589,0,44,Private,5430,3,2,Pickup,yes,No,0,Yes,47,0,9,-2147483648,M,Yes,No,Blue Collar,<High School,149582,1,Urban,0
2387,22907022,8581.0,0,0,0,0,55,Commercial,11440,10,2,SUV,no,Yes,1,No,37,0,9,62409,F,No,No,Blue Collar,High School,217421,1,Rural,0
2388,22911939,9948.0,0,0,0,0,45,Commercial,22570,1,2,Panel Truck,yes,No,3,No,51,0,14,28979,M,Yes,No,Manager,PhD,174100,11,Urban,1
2389,22916577,9897.0,0,0,0,0,28,Private,13690,1,2,Sedan,yes,No,0,No,35,1,11,77486,M,No,Yes,Manager,Bachelors,232815,1,Urban,1
2390,22936730,10103.0,0,0,0,0,41,Private,16190,1,1,Sedan,yes,No,2,No,53,0,13,93908,M,No,No,Clerical,High School,0,9,Rural,1
2391,22942669,9823.0,1,3904,0,0,37,Private,10780,4,2,SUV,no,No,5,No,43,0,9,43505,F,No,No,Clerical,Bachelors,107149,10,Urban,0
